Program.Title,CIP,STEM
Natural resources and conservation,3,1
Architecture and related services,4,1
"Area, ethnic, cultural, gender, and group studies",5,0
"Communication, journalism, and related programs",9,0
Communications technologies/technicians and support services,10,1
Computer and information sciences and support services,11,1
Personal and culinary services,12,0
Education,13,0
Engineering,14,1
Engineering technologies and engineering-related fields,15,1
"Foreign languages, literatures, and linguistics",16,0
Family and consumer sciences/human sciences,19,1
Legal professions and studies,22,0
English language and literature/letters,23,0
"Liberal arts and sciences, general studies and humanities",24,0
Library science,25,0
Biological and biomedical sciences,26,1
Mathematics and statistics,27,1
Multi/interdisciplinary studies,30,0
"Parks, recreation, leisure, and fitness studies",31,0
Philosophy and religious studies,38,0
Physical sciences,40,1
Science technologies/technicians,41,1
Psychology,42,1
"Homeland security, law enforcement, firefighting and related protective services",43,0
Public administration and social service professions,44,0
Social sciences,45,1
Construction trades,46,0
Mechanic and repair technologies/technicians,47,1
Precision production,48,0
Transportation and materials moving,49,0
Visual and performing arts,50,0
Health professions and related programs,51,0
"Business, management, marketing, and related support services",52,0
History,54,0
Residency programs,60,0
